Id,Name,2026-09-01 23:06:25,2026-09-02 08:14:42,2026-09-02 22:31:36,2026-09-03 08:14:32,2026-09-03 22:29:59,2026-09-04 08:11:07,2026-09-04 22:24:55,2026-09-05 07:58:06,2026-09-05 21:33:09,2026-09-06 07:46:19,2026-09-06 21:48:45
122678326,ASRock B650M Pro X3D + WiFi6E 모듈 패키지 디앤디컴,"158,840","158,840","156,590","158,840",0,"158,840","156,590","158,840",0,"158,840","158,840"
93702833,ASRock B650M Pro X3D WiFi 대원씨티에스,"172,610","172,610","172,610","172,610",0,"172,610","172,610","172,610",0,"172,610","172,610"
77786621,ASRock B650M Pro X3D WiFi 디앤디컴,"172,000","172,000","172,000","172,000",0,"172,000","172,000","172,000",0,"172,000","172,000"
93317309,ASRock B650M Pro X3D WiFi 에즈윈,"178,990","178,990","178,990","178,990",0,"178,990","178,990","178,990",0,"178,990","178,990"
77706647,ASRock B650M Pro X3D 대원씨티에스,"134,490","134,490","135,060","135,060",0,"135,320","135,220","135,200",0,"135,080","135,040"
77786816,ASRock B650M Pro X3D 디앤디컴,"137,070","137,070","137,060","137,060",0,"139,780","138,930","138,900",0,"138,860","138,830"
76509641,ASRock B650M Pro X3D 에즈윈,"125,130","125,130","125,130","125,130",0,"125,130","125,130","125,130",0,"125,130","125,130"
19536692,ASRock B650M-HDV/M.2 에즈윈,"186,680","186,680","184,710","184,710",0,"184,710","184,710","184,710",0,"184,710","184,710"
16089554,ASRock B660M Pro RS D4 에즈윈,"196,000","196,000","196,000","196,000",0,"196,000","196,000","196,000",0,"196,000","196,000"
16094537,ASRock B660M-HDV D4 디앤디컴,"156,000","156,000","156,000","156,000",0,"156,000","156,000","156,000",0,"156,000","156,000"
18646154,ASRock B760M PG SONIC WiFi D5 에즈윈,"180,000","180,000","180,000","180,000",0,"180,000","180,000","180,000",0,"180,000","180,000"
20103287,ASRock B760M Pro RS D5 + WiFi6E 모듈 패키지 디앤디컴,"182,830","182,830","182,830","185,480",0,"186,030","182,830","182,830",0,"182,830","182,820"
30638927,ASRock B760M Pro RS D5 + WiFi6E 모듈 패키지 에즈윈,"188,000","188,370","188,370","188,370",0,"188,370","188,370","188,370",0,"188,370","188,370"
31959920,ASRock B760M Pro RS D5 + WiFi7 모듈 패키지 디앤디컴,"204,780","204,780","204,780","205,780",0,"205,770","204,780","204,780",0,"144,020","144,020"
19498640,ASRock B760M Pro RS D5 디앤디컴,"152,120","153,630","153,630","152,120",0,"152,110","152,110","152,110",0,"152,110","152,110"
19536062,ASRock B760M Pro RS D5 에즈윈,"144,980","144,980","144,980","144,980",0,"144,980","144,980","144,980",0,"144,980","144,980"
69469049,ASRock B760M Pro RS D5 인텍앤컴퍼니,"146,530","146,530","146,530","146,530",0,"146,530","146,530","146,530",0,"146,530","146,530"
40895255,ASRock B760M Pro-A 에즈윈,"171,500","171,500","171,500","171,500",0,"171,500","171,500","171,500",0,"171,500","171,500"
106717613,ASRock B760M Pro-A 에즈윈 (벌크),"134,490","134,490","134,490","134,490",0,"134,490","134,490","134,490",0,"134,490","134,490"
69468977,ASRock B760M Pro-A 인텍앤컴퍼니,"138,500","138,500","138,500","138,500",0,"138,500","138,500","138,500",0,"138,500","138,500"
122678463,ASRock B760M Pro-A/D4 + WiFi6E 모듈 패키지 디앤디컴,"163,030","163,030","163,030","163,030",0,"167,890","164,040","164,020",0,"164,000","163,940"
122678434,ASRock B760M Pro-A/D4 + WiFi7 모듈 패키지 디앤디컴,"183,190","183,190","184,830","184,830",0,"186,000","184,840","185,970",0,"185,950","185,890"
106749107,ASRock B760M Pro-A/D4 디앤디컴,"129,000","129,000","128,910","128,910",0,"129,000","128,920","129,000",0,"129,000","129,000"
109483313,ASRock B760M Pro-A/D4 에즈윈,"129,280","129,280","129,190","129,190",0,"129,190","129,190","129,190",0,"129,190","129,190"
20536331,ASRock B760M-HDVP D5 에즈윈 (벌크),"121,320","121,320","121,320","121,320",0,"121,320","121,320","121,320",0,"121,320","121,320"
99714806,ASRock B760M-X Gen5 에즈윈 (벌크),"123,890","123,890","123,890","123,890",0,"123,890","123,890","123,890",0,"123,890","123,890"
97702355,ASRock B850 Challenger WiFi 7 White 대원씨티에스,"254,350","254,350","254,350","254,350",0,"254,350","254,350","254,350",0,"254,350","254,350"
99054896,ASRock B850 Challenger WiFi 7 White 디앤디컴,"241,530","241,530","241,530","241,530",0,"241,530","241,530","241,530",0,"241,530","241,530"
100383200,ASRock B850 Challenger WiFi 7 White 에즈윈,"268,660","268,660","268,660","268,660",0,"268,660","268,660","268,660",0,"268,660","268,660"
97702418,ASRock B850 Challenger WiFi 7 대원씨티에스,"238,760","238,760","234,820","234,820",0,"238,700","238,700","238,700",0,"238,670","238,670"
74250353,ASRock B850 LiveMixer WiFi 대원씨티에스,"282,970","282,970","282,970","282,970",0,"282,970","282,970","282,970",0,"282,970","282,970"
75939005,ASRock B850 Pro RS WiFi 대원씨티에스,"247,600","247,600","247,600","247,600",0,"247,600","247,600","247,600",0,"247,600","247,600"
74340596,ASRock B850 Pro RS WiFi 디앤디컴,"247,570","247,570","247,570","247,570",0,"251,980","247,580","249,440",0,"249,440","249,400"
73952600,ASRock B850 Pro RS WiFi 에즈윈,"240,400","240,400","240,400","240,400",0,"240,400","240,400","240,400",0,"240,400","240,400"
73952525,ASRock B850 Pro RS 에즈윈,"242,870","242,860","242,840","242,840",0,"235,400","241,440","235,400",0,"235,400","235,400"
79410761,ASRock B850 Pro-A WiFi 디앤디컴,"181,000","181,000","181,000","181,000",0,"181,000","181,000","181,000",0,"181,000","181,000"
78990293,ASRock B850 Pro-A WiFi 에즈윈,"230,510","227,510","227,510","227,510",0,"232,080","227,520","227,520",0,"232,080","230,520"
74250455,ASRock B850 Pro-A 대원씨티에스,"220,650","220,650","218,340","218,340",0,"218,330","218,330","218,330",0,"218,330","218,330"
74341610,ASRock B850 Pro-A 디앤디컴,"216,170","216,170","216,160","216,150",0,"216,090","216,070","216,050",0,"216,050","216,010"
74999933,ASRock B850 Pro-A 에즈윈,"220,010","220,010","220,000","220,000",0,"220,000","220,000","220,000",0,"220,000","220,000"
74250557,ASRock B850 Riptide WiFi 대원씨티에스,"298,230","298,230","295,230","295,230",0,"295,220","295,220","295,220",0,"295,220","295,220"
107958404,ASRock B850 Rock WiFi 7 대원씨티에스,"231,830","231,830","231,830","231,830",0,"231,820","231,820","231,820",0,"231,820","231,820"
122694871,ASRock B850 Rock WiFi 7 디앤디컴,"228,950","228,950","230,520","230,520",0,"231,930","228,950","231,890",0,"231,870","231,810"
106717493,ASRock B850 Rock WiFi 7 에즈윈,"227,050","227,050","224,660","224,660",0,"224,660","224,660","224,660",0,"224,660","224,660"
74340710,ASRock B850 스틸레전드 WiFi 디앤디컴,"278,970","278,970","278,950","278,950",0,"278,970","278,970","278,950",0,"278,950","278,910"
77278937,ASRock B850 스틸레전드 WiFi 에즈윈,"287,770","287,770","287,770","287,770",0,"287,770","287,770","287,770",0,"287,770","287,770"
77278676,ASRock B850I Lightning WiFi 대원씨티에스,"335,210","335,210","335,220","335,220",0,"335,210","335,210","335,210",0,"335,210","335,210"
73952591,ASRock B850I Lightning WiFi 에즈윈,"340,600","340,600","340,580","340,580",0,"340,580","340,580","340,580",0,"340,580","340,540"
107956478,ASRock B850M Challenger WiFi 7 White 대원씨티에스,"235,870","235,870","235,380","235,380",0,"234,870","234,860","234,860",0,"234,850","234,850"
107768525,ASRock B850M Challenger WiFi 7 White 디앤디컴,"221,150","221,150","221,150","221,150",0,"230,440","224,670","224,650",0,"224,630","224,570"
106728485,ASRock B850M Challenger WiFi 7 White 에즈윈,"232,810","232,810","232,810","232,810",0,"232,810","232,810","232,810",0,"232,810","232,810"
93804581,ASRock B850M Pro Plus WiFi 디앤디컴,"212,110","212,110","209,320","209,320",0,"212,120","209,330","212,110",0,"212,110","212,110"
78534680,ASRock B850M Pro RS + WiFi6E 모듈 패키지 디앤디컴,"237,900","237,900","237,900","237,900",0,"237,900","237,900","237,900",0,"237,900","237,900"
94028396,ASRock B850M Pro RS WiFi WHITE 대원씨티에스,"198,020","198,020","198,040","198,040",0,"195,190","195,190","195,190",0,"195,190","195,190"
93803822,ASRock B850M Pro RS WiFi WHITE 디앤디컴,"197,990","198,990","197,990","197,980",0,"197,980","197,990","197,980",0,"198,980","198,980"
75600851,ASRock B850M Pro RS WiFi 디앤디컴,"197,860","197,860","197,860","197,860",0,"197,860","197,860","197,860",0,"197,860","197,860"
