Id,Name,2026-08-01 19:48:44,2026-08-02 07:07:32,2026-08-02 19:49:12,2026-08-03 07:04:15,2026-08-03 21:35:16,2026-08-04 07:16:42,2026-08-04 20:34:21,2026-08-05 07:22:23,2026-08-05 20:29:28,2026-08-06 07:20:30,2026-08-06 20:32:54,2026-08-07 10:06:13,2026-08-07 19:09:41,2026-08-08 06:49:35,2026-08-08 18:48:24,2026-08-09 06:40:28
100691819,HIKSEMI DDR5-6000 CL38 FUTURE RGB WHITE 패키지,"32GB(16Gx2)_24,453원/1GB_782,500","32GB(16Gx2)_24,453원/1GB_782,500","32GB(16Gx2)_24,453원/1GB_782,500","32GB(16Gx2)_24,453원/1GB_782,500","32GB(16Gx2)_24,453원/1GB_782,500","32GB(16Gx2)_24,453원/1GB_782,500","32GB(16Gx2)_24,453원/1GB_782,500","32GB(16Gx2)_24,453원/1GB_782,500","32GB(16Gx2)_24,453원/1GB_782,500","32GB(16Gx2)_24,453원/1GB_782,500","32GB(16Gx2)_25,000원/1GB_800,000","32GB(16Gx2)_25,000원/1GB_800,000","32GB(16Gx2)_25,000원/1GB_800,000","32GB(16Gx2)_25,000원/1GB_800,000","32GB(16Gx2)_25,000원/1GB_800,000","32GB(16Gx2)_25,000원/1GB_800,000"
13254080,HP DDR3-1333 중고,"4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800","4GB_3,450원/1GB_13,800"
67679339,KingSpec 노트북 DDR5-5600 CL40,"16GB_18,938원/1GB_303,000","16GB_18,938원/1GB_303,000","16GB_18,938원/1GB_303,000","16GB_18,938원/1GB_303,000","16GB_18,938원/1GB_303,000","16GB_18,938원/1GB_303,000","16GB_18,938원/1GB_303,000","16GB_18,938원/1GB_303,000",0,0,0,0,0,0,0,0
13723196,OLOy DDR4-3600 CL18 BLADE RGB Black 패키지,"32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000","32GB(16Gx2)_12,625원/1GB_404,000"
100700609,OLOy DDR5-5200 CL36 BLADE RGB BLACK 패키지 올로코리아,"32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000"
122637031,OLOy DDR5-5600 CL36 BLADE RGB MIRROR 패키지 올로코리아,"32GB(16Gx2)_40,773원/1GB_652,360","32GB(16Gx2)_40,773원/1GB_652,360","32GB(16Gx2)_40,773원/1GB_652,360","32GB(16Gx2)_40,773원/1GB_652,360","32GB(16Gx2)_40,773원/1GB_652,360","32GB(16Gx2)_40,773원/1GB_652,360","32GB(16Gx2)_40,773원/1GB_652,360","32GB(16Gx2)_40,773원/1GB_652,360","32GB(16Gx2)_41,212원/1GB_659,390","32GB(16Gx2)_41,212원/1GB_659,390","32GB(16Gx2)_41,212원/1GB_659,390","32GB(16Gx2)_41,212원/1GB_659,390","32GB(16Gx2)_41,212원/1GB_659,390","32GB(16Gx2)_41,212원/1GB_659,390","32GB(16Gx2)_41,212원/1GB_659,390","32GB(16Gx2)_41,212원/1GB_659,390"
100700621,OLOy DDR5-5600 CL40 BLADE RGB BLACK 패키지 올로코리아,"32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170","32GB(16Gx2)_21,255원/1GB_680,170"
106694813,OLOy DDR5-6000 CL32 BLADE Black 패키지 올로코리아,"32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900","32GB(16Gx2)_21,966원/1GB_702,900"
17770829,OLOy DDR5-6000 CL32 BLADE RGB MIRROR 패키지 올로코리아,"32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150","32GB(16Gx2)_22,098원/1GB_707,150"
104938637,OLOy DDR5-6000 CL36 BLADE BLACK 패키지 올로코리아,"32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010","32GB(16Gx2)_20,282원/1GB_649,010"
